Feature Scenario,Data Split Pattern,Model Target,MAE ($),RMSE ($),R2 Score
Tabular Standard Only,20% Test Split,Baseline: Linear Regression,10651.62,14568.53,0.5638
Tabular Standard Only,20% Test Split,Algorithm-1: SVR (SVM),7037.2,11027.75,0.7501
Tabular Standard Only,20% Test Split,Ensemble: Random Forest,6570.19,10240.85,0.7845
Tabular Standard Only,20% Test Split,Algorithm-5: XGBoost,6559.61,10101.23,0.7903
Tabular Standard Only,20% Test Split,Algorithm-5: LightGBM,6328.64,9736.95,0.8052
Tabular Standard Only,20% Test Split,FINAL HYBRID ENSEMBLE STACK,6318.05,9758.54,0.8043
Tabular Standard Only,30% Test Split,Baseline: Linear Regression,10725.8,14734.28,0.5607
Tabular Standard Only,30% Test Split,Algorithm-1: SVR (SVM),7108.67,11398.27,0.7371
Tabular Standard Only,30% Test Split,Ensemble: Random Forest,6768.67,10641.36,0.7708
Tabular Standard Only,30% Test Split,Algorithm-5: XGBoost,6538.67,10251.05,0.7873
Tabular Standard Only,30% Test Split,Algorithm-5: LightGBM,6347.65,9896.07,0.8018
Tabular Standard Only,30% Test Split,FINAL HYBRID ENSEMBLE STACK,6313.18,9964.12,0.7991
Isolate: DistilRoBERTa Only,20% Test Split,Baseline: Linear Regression,13999.37,18099.23,0.3268
Isolate: DistilRoBERTa Only,20% Test Split,Algorithm-1: SVR (SVM),10632.69,14966.96,0.5396
Isolate: DistilRoBERTa Only,20% Test Split,Ensemble: Random Forest,11467.85,15480.06,0.5075
Isolate: DistilRoBERTa Only,20% Test Split,Algorithm-5: XGBoost,11307.08,15342.75,0.5162
Isolate: DistilRoBERTa Only,20% Test Split,Algorithm-5: LightGBM,11017.85,15052.39,0.5344
Isolate: DistilRoBERTa Only,20% Test Split,FINAL HYBRID ENSEMBLE STACK,10515.59,14441.93,0.5714
Isolate: DistilRoBERTa Only,30% Test Split,Baseline: Linear Regression,13911.4,18172.74,0.3317
Isolate: DistilRoBERTa Only,30% Test Split,Algorithm-1: SVR (SVM),10859.74,15297.04,0.5265
Isolate: DistilRoBERTa Only,30% Test Split,Ensemble: Random Forest,11673.45,15717.9,0.5
Isolate: DistilRoBERTa Only,30% Test Split,Algorithm-5: XGBoost,11302.69,15371.61,0.5218
Isolate: DistilRoBERTa Only,30% Test Split,Algorithm-5: LightGBM,11017.78,15131.11,0.5367
Isolate: DistilRoBERTa Only,30% Test Split,FINAL HYBRID ENSEMBLE STACK,10559.13,14634.31,0.5666
Isolate: TextCNN Only,20% Test Split,Baseline: Linear Regression,4530.79,6599.49,0.9105
Isolate: TextCNN Only,20% Test Split,Algorithm-1: SVR (SVM),4381.76,6510.03,0.9129
Isolate: TextCNN Only,20% Test Split,Ensemble: Random Forest,4522.3,6663.6,0.9087
Isolate: TextCNN Only,20% Test Split,Algorithm-5: XGBoost,4538.96,6733.47,0.9068
Isolate: TextCNN Only,20% Test Split,Algorithm-5: LightGBM,4566.8,6724.37,0.9071
Isolate: TextCNN Only,20% Test Split,FINAL HYBRID ENSEMBLE STACK,4440.07,6510.07,0.9129
Isolate: TextCNN Only,30% Test Split,Baseline: Linear Regression,4478.48,6462.44,0.9155
Isolate: TextCNN Only,30% Test Split,Algorithm-1: SVR (SVM),4387.15,6415.95,0.9167
Isolate: TextCNN Only,30% Test Split,Ensemble: Random Forest,4522.03,6575.9,0.9125
Isolate: TextCNN Only,30% Test Split,Algorithm-5: XGBoost,4635.36,6685.81,0.9095
Isolate: TextCNN Only,30% Test Split,Algorithm-5: LightGBM,4607.22,6653.33,0.9104
Isolate: TextCNN Only,30% Test Split,FINAL HYBRID ENSEMBLE STACK,4397.91,6377.28,0.9177
Isolate: LLaMA 1B Only,20% Test Split,Baseline: Linear Regression,11529.95,15472.5,0.508
Isolate: LLaMA 1B Only,20% Test Split,Algorithm-1: SVR (SVM),7822.09,11850.1,0.7114
Isolate: LLaMA 1B Only,20% Test Split,Ensemble: Random Forest,7749.2,11546.27,0.726
Isolate: LLaMA 1B Only,20% Test Split,Algorithm-5: XGBoost,7854.45,11573.46,0.7247
Isolate: LLaMA 1B Only,20% Test Split,Algorithm-5: LightGBM,7541.42,11127.59,0.7455
Isolate: LLaMA 1B Only,20% Test Split,FINAL HYBRID ENSEMBLE STACK,7297.78,10987.03,0.7519
Isolate: LLaMA 1B Only,30% Test Split,Baseline: Linear Regression,11658.15,15432.93,0.518
Isolate: LLaMA 1B Only,30% Test Split,Algorithm-1: SVR (SVM),7942.28,11858.65,0.7154
Isolate: LLaMA 1B Only,30% Test Split,Ensemble: Random Forest,8159.74,11862.47,0.7152
Isolate: LLaMA 1B Only,30% Test Split,Algorithm-5: XGBoost,8087.33,11624.2,0.7266
Isolate: LLaMA 1B Only,30% Test Split,Algorithm-5: LightGBM,7862.59,11363.79,0.7387
Isolate: LLaMA 1B Only,30% Test Split,FINAL HYBRID ENSEMBLE STACK,7560.32,11063.14,0.7523
Combined Master Megafeature,20% Test Split,Baseline: Linear Regression,4108.2,6319.15,0.9179
Combined Master Megafeature,20% Test Split,Algorithm-1: SVR (SVM),4150.89,6762.18,0.906
Combined Master Megafeature,20% Test Split,Ensemble: Random Forest,4118.51,6224.76,0.9204
Combined Master Megafeature,20% Test Split,Algorithm-5: XGBoost,4030.38,6324.33,0.9178
Combined Master Megafeature,20% Test Split,Algorithm-5: LightGBM,3977.89,6230.0,0.9202
